index,Formula,sim_cell,PBE_LC,PBE_bgType,PBE_bg_eV,PBE_dbg_eV,PBE_FormE_eV,PBE_DecoE_eV,dielc,PV_FOM,SLME_5um,SLME_100um,HSE_LC,HSE_bgType,HSE_bg_eV,HSE_dbg_eV,HSE_FormE_eV,HSE_DecoE_eV
152,K0.5MA0.5SnI3,2x2x2,6.385,Direct,1.017,1.0178,-4.526,1.244,6.7247,5.4376,0.205059,0.306481,,,,,,
153,K0.5MA0.5SnBr3,2x2x2,6.07058,Direct,1.542,1.5422,-6.01565,-0.0886493,4.68347,5.21791,0.189105,0.310418,,,,,,
154,Rb0.375Cs0.25MA0.375SnCl3,2x2x2,5.74107,Direct,1.767,1.7677,-7.18052,0.192354,4.1661,5.10957,0.14384,0.273672,,,,,,
155,K0.25Rb0.125MA0.625SnCl3,2x2x2,5.77792,Direct,1.795,1.795,-7.12639,0.442239,4.07747,5.10489,0.141523,0.268475,5.91525,Direct,3.6168,3.6168,-7.28679,0.511964
156,Rb0.375Cs0.125MA0.5PbI3,2x2x2,6.46812,Direct,1.935,1.9355,-4.97491,0.965711,5.3512,5.36183,0.179474,0.23922,6.59994,Indirect,2.8476,2.9497,-5.51884,1.21616
157,K0.25Rb0.25Cs0.125MA0.375GeBr3,2x2x2,5.85398,Direct,1.622,1.6225,-5.49186,-0.173613,4.8915,5.19895,0.198859,0.297004,5.9687,Indirect,2.8945,3.0057,-5.69627,-0.0325227
158,Rb0.375Cs0.25MA0.375GeBr3,2x2x2,5.82979,Direct,1.526,1.5266,-5.55946,-0.229082,5.0747,5.21726,0.200771,0.312221,5.96203,Indirect,2.9972,3.0755,-5.76722,-0.0972209
159,Rb0.5Cs0.125MA0.375GeBr3,2x2x2,5.84394,Direct,1.59,1.5905,-5.52844,-0.206439,4.98017,5.20803,0.201678,0.301811,5.97147,Indirect,2.905,3.0178,-5.72266,-0.0614095
160,K0.25Rb0.25Cs0.125MA0.375GeCl3,2x2x2,5.59632,Direct,2.013,2.0133,-6.57119,0.489312,4.0049,5.02775,0.129306,0.222606,,,,,,
161,K0.375Rb0.125Cs0.125MA0.375GeCl3,2x2x2,5.57926,Direct,2.001,2.0019,-6.56352,0.807607,4.02383,5.02912,0.128679,0.225213,,,,,,
162,K0.125Rb0.125MA0.75PbI3,2x2x2,6.46607,Direct,1.897,1.8971,-4.99203,0.685844,5.33937,5.35868,0.176492,0.247485,6.57257,Indirect,2.8769,2.957,-5.57661,1.03714
163,K0.25Rb0.25Cs0.125MA0.375PbBr3,2x2x2,5.97213,Direct,2.113,2.1134,-6.45766,-0.0694115,4.48483,5.12682,0.102606,0.201819,6.06044,Indirect,3.567,3.7836,-7.03201,-0.0382612
164,K0.375MA0.625BaBr3,2x2x2,6.3202,Direct,4.1,4.1003,-10.0294,0.222367,2.84753,3.40428,5.0468e-07,4.91364e-06,,,,,,
